ID,PARENT,ISGROUP,LATIN_NAME,NAME,AUTHOR,MORE_INFO,COLOR
0,0,1,ATLAS,,,,
1,0,1,Apiaceae,,,,
2,1,0,Agrocharis melanantha,,Hochst.,"Erect perennial herb. <b>Stem</b>: sulcate, with setose hairs. <b>Leaves</b>: lower and middle stem leaves 3 -pinnate. <b>Inflorescence</b>: in dense umbels with often very long peduncles. Involucel of narrowly lanceolate, marginally setulose bracteoles.Flowers: blackish purple or rarely yellowish. <b>Fruit</b>: oblong-ellipsoid with spines. <br/>
       Scattered in grassland, moist path sides, thickets, forest glades; common around Hut 2, up to 2900 m a.s.l. Native range is Tropical and South Africa, Madagascar, SW. Arabian Peninsula.","black, purple, yellow"
3,1,0,Lefebvrea angustisecta,Peucedanum angustisectum (Engl.) Norman;Peucedanum camerunense Jacq.-Fél.,Engl.,"A monocarpic, branched herb up to 1.5 m. <b>Leaves</b>: very variable, usually biternate, leaflets lanceolate 1.5-8 cm long, margins serrate. Upper stem leaves often trifoliate. <b>Inflorescence</b>: compound umbels of small flowers with whitish green petals and violet anthers. <b>Fruit</b>: mericarp strongly flattened with wings. <br/>
       In montane grasslands above forest up to 3000 m a.s.l. Common around Hut 2.",pink
4,1,0,Pimpinella oreophila,,Hook. f.,"Afroalpine perennial herb, 15 cm high. <b>Stem</b>: sulcate, green to blackish purple. <b>Leaves</b>: basal leaves pinnate with 1 pairs, leaflets ovate, median and upper stem leaves simple to trisect, leaflets lanceolate. <b>Inflorescence</b>: partial umbels ñ 7 -flowered. <b>Flowers</b>: petals white to creamy-green, sometimes tinted with purplish. <b>Fruit</b>: oblong-ovoid, glabrous, 2 mm. <br/>
       Upland grasslands 2600-3600 m a.s.l. Native in mountains of tropical Africa.","white, green, purple"
5,0,1,Asteraceae,,,,
6,5,0,Anisopappus chinensis,"buchwaldii (O.Hoffm.) S.Ortiz, Paiva & Rodr.-Oubina var.;macrocephala (Humbert) S. Oritz, Paiva & Rodr.-Oubina",Hook. & Arn.;,"Robust herb, up to 120 cm tall. <b>Leaves</b>: simple, crenate, bullate. Growing usually near the tree line. <br/>
               Common around Mann' s Spring. Widespread in tropical Africa, other subspecies of Anisopappus, Anisopappus chinensis subsp. chinensis occur also in Southeast Asia.",
7,5,0,Bidens pilosa,,L.,"Annual plant. <b>Leaves</b>: pinnately compound. <b>Stem</b>: reddish tinged; 4-angled. <b>Flowers</b>: ray florets white, sometimes reduced; disc florets yellow. <br/>
       Native in tropical and Central America, recently widespread in warm areas around the world. On Mt. Cameroon grows in anthropogenic vegetation around mountain huts.","white, yellow."
8,5,0,Bidens mannii,,T.G.J Rayner,"<b>Leaves</b>: pinnatisect, shiny above. <b>Stem</b>: dark red-brown especially at the base. <b>Inflorescence</b>: capitula 4-7 cm wide.<br/>
       Usually growing on exposed lava flows formed by large stones. Common on 1999 lava flow on the path from Bokwango to Mann's spring or around Hut 2. Endemic to Cameroonian mountains. IUCN red list status: vulnerable.",ray and disc florets yellow
9,5,0,Laggera crispata,,(Vahl) Hepper & J.R.I.Wood,"Robust, strongly aromatic herb covered by sticky glands, multi-stemmed. <b>Stem</b>: with wings, woody at the base, branched. <b>Inflorescence</b>: capitula around 10 mm long.<br/>
        On Mt. Cameroon rather rare. Growing near the forest margins. Occurring in Asia, tropical and South Africa.",
10,5,0,Erigeron bonariensis,,L.,"Annual or biennial herb, 0.4-1.5 m high. <b>Leaves</b>: linear or linear lanceolate, hispid. <b>Inflorescence</b>: capitula many, 5-7 mm in diameter.<br/>
       Generally believed to be native to South America. Widespread in warmer regions of the world.",white
11,5,0,Conyza subscaposa,,O.Hoffm.,"Small herb, usually 10-20 cm tall. <b>Leaves</b>: rosette, some of the capitula's pendant. <br/>
       Peak of the flowering at the end of the dry season April-May. Occurring in short-stemmed grasslands, or gaps in tall grasslands. On Mt. Cameroon growing along the long elevational range from tree line almost to the summit. Tropical mountains in Africa.",yellow
12,5,0,Crassocephalum gracile,,(Hook.f. ex Hook.f.) Milne-Redh. ex Guinea,"<b>Inflorescence</b>: heads up to 2 cm broad, involucre shortly pubescent. <b>Leaves</b>: with rounded stipuliform auricules at the base, ovate, eliptic, cunate down to the point of attachment. <br/>
       On Mt. Cameroon growing from tree line up to 3000 m a.s.l. <br/>
  <br/>
       Similar species <i>Crassoceyphalum bougheyanum</i> C.D.Adams has bigger heads about 2.5 cm broad, involucral bracts glabrescent and without basal stipuliform auricles. C. bougheyanum is usually growing in the mountain forest edge and in forest gaps.",yellow
13,5,0,Crepis hypochaeridea,,(DC.) Thell.,"Branching scapes with multiple heads. <b>Leaves</b>: in rosette. <b>Florets</b>: all ligulate and hermaphrodite.<br/>
       On Mt. Cameroon scattered in short grasslands at higher altitudes (2900  3800 m a.s.l.). Mountains of tropical Africa and South Africa.",yellow
